resolvedTraitName;resolvedName;datasetId
scaled functional response for LdL3 data;1;amp
time at start development at 20 C;1;amp
initial length in tL and tW data;1;amp
scaled functional response for tL_F data;1;amp
scaled functional response for tL_M data;1;amp
time at birth;1;amp
scaled functional response for tL data at 0 d;1;amp
scaled functional response for tL data at 8000 d;1;amp
time since birth at origin;1;amp
initial length tL data Sand1981;1;amp
scaled functional response for length - dry weight data Beck2011;1;amp
scaled functional response for length - dry weight data Haue2011;1;amp
scaled functional response for time length data Sand1981;1;amp
shape coefficient forewing length;1;amp
shape coefficient larvae;1;amp
energy conductance for males;1;amp
shape coefficient for otolith rarius;1;amp
initial struct length for tWw data;1;amp
scaled functional response for tL data > 365 d;1;amp
weight after hybernation;1;amp
scaled functional response for tW;1;amp
Arrhenius temp at upper boundary;1;amp
Temperature at upper boundary;1;amp
scaled functional response for tL_BC data;1;amp
scaled functional response for tL_FC data;1;amp
initial length for tL_f data;1;amp
initial length for tL_m data;1;amp
scaled functional response for tL and tWdata;1;amp
scaled functional response for tL1 and tWl data;1;amp
shape coefficient for veliger;1;amp
scaled functional response for Brazil data;1;amp
scaled functional response for Uruguay data;1;amp
contribution of gonads in weight for tW-data;1;amp
dryweight at t = 0 in tW-data;1;amp
length at t = 0 in tL-data;1;amp
scaled functional response for tL_f1;1;amp
scaled functional response for tL_f2;1;amp
scaled functional response for tL_f3;1;amp
scaled functional response for tL_T*;1;amp
scaled functional response for TJO1 data;1;amp
scaled functional response for TJO2 data;1;amp
wet weight for TJO1 data;1;amp
wet weight for TJO2 data;1;amp
scaled functional response for tW  data;1;amp
scaled functional response for tW5 data;1;amp
scaled function response;1;amp
time at start eggs development;1;amp
ash-free dry - dry weight ratio;1;amp
fraction of eggs in gonads that is resorbed;1;amp
reduction factor for yolk absorption;1;amp
scaled functional response for BjorStei2007 data;1;amp
scaled functional response for McCoGeub2006 data;1;amp
scaled functional response for OtteNyha1999 data;1;amp
scaled functional response for tL_Ez data;1;amp
scaled functional response for tL_Gu data;1;amp
scaled functional response for tL_ME data;1;amp
scaled functional response for tL_Mo data;1;amp
scaled functional response for tL_MW data;1;amp
digestion efficiency of food to reserve for tW2 data;1;amp
energy in food for tW2 data;1;amp
maturity at fledching;1;amp
scaled functional response for tWw_* data;1;amp
time between clutches;1;amp
total length at zero for tL_f data;1;amp
total length at zero for tL_m data;1;amp
maturity at birth for males;1;amp
scaled functional response for LN_0 data;1;amp
scaled functional response for LN_11 data;1;amp
scaled functional response for LN_112 data;1;amp
scaled functional response for LN_12 data;1;amp
scaled functional response for LN_13 data;1;amp
scaled functional response for LN_16 data;1;amp
scaled functional response for LN_18 data;1;amp
scaled functional response for LN_19 data;1;amp
scaled functional response for LN_3 data;1;amp
scaled functional response for LN_6 data;1;amp
initial  length for tL2 data;1;amp
initial  length for tL3 data;1;amp
initial  length for tL4 data;1;amp
initial  length for tL5 data;1;amp
initial  length for tL6 data;1;amp
initial  length for tL7 data;1;amp
scaled functional response for JoneHyne1950 data;1;amp
scaled functional response for WrigWoot2004 data;1;amp
scaled functional response for tW_f;1;amp
feacation efficiency of food to feaces;1;amp
scaled functional response for tW and tW1 data;1;amp
scaled functional response for tW2 and tW1 data;1;amp
scaled functional response in north austral zone;1;amp
scaled functional response in south austral zone;1;amp
initial length for tL_1 data;1;amp
initial length for tL_2 data;1;amp
fraction of yr that for accumulation in first spawn;1;amp
scaled functional response for tWw data for 15 d;1;amp
scaled functional response for tWw data from 0-10 d;1;amp
scaled functional response for tW  data at 17 d;1;amp
scaled functional response for tW  data from 0-8 d;1;amp
scaled functional response for tW1 data at 17 d;1;amp
scaled functional response for tW1 data from 0-8 d;1;amp
scaled functional response for tW2 data at 17 d;1;amp
scaled functional response for tW2 data from 0-8 d;1;amp
scaled functional response for tW3 data  from 0-6 d;1;amp
scaled functional response for tW3 data at 9 d;1;amp
initial shell height at for tL0 data;1;amp
initial shell height at for tL1 data;1;amp
initial shell height at for tL2 data;1;amp
initial length for tL_2 and tL_3 data;1;amp
scaled functional response for tL_1 data;1;amp
scaled functional response for tL_2 and tL_3 data;1;amp
shape coefficient for female;1;amp
shape coefficient for male;1;amp
offset for tL data;1;amp
time offset in T(t) data;1;amp
scaled functional response for t-L and t-W data;1;amp
volume at first time in tV data;1;amp
body length at 0 in tL_f data;1;amp
body length at 0 in tL_m data;1;amp
scaled functional response for Nesto fed ad libitum with 28 percent protein;1;amp
scaled functional response for Nesto fed ad libitum with 66 percent protein;1;amp
scaled functional response for Nesto fed ad libitum with 9.5;1;amp
shape coefficient for abj;1;amp
offset for T(t) in tL data;1;amp
Arrhenius temperature at lower boundary temperature;1;amp
reprod buffer/structure at pupation as fraction of max;1;amp
shape coefficient for FL;1;amp
scaling coeff for hind-foot length;1;amp
Arrhenius temperature  at high temp boundary;1;amp
Arrhenius temperature  at low temp boundary;1;amp
Arrhenius temperature 1st instar;1;amp
Arrhenius temperature 2nd instar;1;amp
Arrhenius temperature 3rd instar;1;amp
Arrhenius temperature 4th instar;1;amp
Arrhenius temperature 5th instar;1;amp
Arrhenius temperature pupa;1;amp
high boundary temperature;1;amp
high boundary temperature egg;1;amp
high boundary temperature pupa;1;amp
scaled functional response for imago;1;amp
scaled functional response for tL_c data;1;amp
initial struct length for tL and tWw data;1;amp
scaled functional response for tL and tWw data for d 000;1;amp
scaled functional response for tL and tWw data for d 090;1;amp
scaled functional response for tL and tWw data for d 150;1;amp
scaled functional response for tL and tWw data for d 175;1;amp
time at birth for tL_0 and tWw_0 data;1;amp
scaled functional response for tW data at 09 d;1;amp
zoom factor (male);1;amp
maturity at birth for females;1;amp
scaled functional response for tW data after t_W0;1;amp
scaled functional response for tW data after t_W1;1;amp
time in tW data before after puberty;1;amp
time in tW data before before puberty;1;amp
scaled functional response for tfW1 data;1;amp
scaled functional response for tfW10 data;1;amp
scaled functional response for tfW120 data;1;amp
scaled functional response for tfW20 data;1;amp
scaled functional response for tfW40 data;1;amp
scaled functional response for tfW5 data;1;amp
scaled functional response for tfW80 data;1;amp
zoom factor for tadpole;1;amp
scaled functional response for f_tW data;1;amp
scaled functional response for f_tW1 data;1;amp
coupler ingested energy - faecal pellet number;1;amp
scaled functional response for Gonz2002 0-var data;1;amp
scaled functional response of Borg1989;1;amp
scaled functional response of Inge1998;1;amp
scaled functional response of Lind1982;1;amp
scaled functional response of Math1971;1;amp
scaled functional response of OthmPasc2001;1;amp
scaled functional response of Pede2013;1;amp
scaled functional response Pery2005 0.04 mg;1;amp
scaled functional response Pery2005 0.06 mg;1;amp
scaled functional response Pery2005 0.1 mg;1;amp
scaled functional response Pery2005 0.2 mg;1;amp
scaled functional response Pery2005 0.3 mg;1;amp
shape coefficient of body length;1;amp
shape coefficient of head length;1;amp
scaled functional response for tL1 and tN data;1;amp
scaled functional response for tL_h data;1;amp
scaled functional response for tL_l data;1;amp
scaled functional response in summer for tL data;1;amp
scaled functional response in summer for tL1 data;1;amp
scaled functional response in winter for tL data;1;amp
scaled functional response in winter for tL1 data;1;amp
scaled functional response for Early James;1;amp
scaled functional response for Latest James;1;amp
shape coefficient for larvae and adults;1;amp
growth period for TdW data;1;amp
scaled functional response for fish fed 2 perc/d;1;amp
scaled functional response for fish fed 4 perc/d;1;amp
scaled functional response for fish fed 6 perc/d;1;amp
time till start of development;1;amp
wet weight for TdW data;1;amp
mantle length at zero for tL_f data;1;amp
mantle length at zero for tL_m data;1;amp
maturity at  for males;1;amp
scaled functional response for tL20 data;1;amp
scaled functional response for tL25 data;1;amp
scaled functional response for tL30 data;1;amp
scaled functional response for tL35 data;1;amp
maturity at end acceleration;1;amp
scaled functional response for tL  data at t=0;1;amp
scaled functional response for tL  data at t=1000;1;amp
scaled functional response for tL data  at t=2000 d;1;amp
scaled functional response for tL data at t=5000 d;1;amp
scaled functional response for tL_0 data;1;amp
scaled functional response for tW14 data;1;amp
scaled functional response for tW20 data;1;amp
scaled functional response for tW8 data;1;amp
scaled functional response for tLe data;1;amp
scaled functional response at Khuchni;1;amp
scaled functional response at Kostek;1;amp
scaled functional response at Kuli;1;amp
scaled functional response at Sergokala;1;amp
scaled functional response at Termenlik;1;amp
mean temperature for tT data;1;amp
temperature amplitude for tT data;1;amp
time offset for temperature in tL data;1;amp
time offset for tT data;1;amp
scaled functional response for tL data at 200 d;1;amp
scaled functional response for tL data at 300 d;1;amp
scaled functional response for tL data at 400 d;1;amp
scaled functional response for tL data at 500 d;1;amp
scaled functional response for tL data at 600 d;1;amp
scaled functional response for tL data at 700 d;1;amp
scaled functional response for tL-4 data;1;amp
scaled functional response for tW data at 02 d;1;amp
scaled functional response for tW data at 04 d;1;amp
allocation fraction of milk (vs fetus);1;amp
milk production efficiency;1;amp
weight at capture;1;amp
scaled functional response for LL and WwWw data;1;amp
scaled functional response for tL_E data;1;amp
scaled functional response for tL_W data;1;amp
scaled functional response for LLm data;1;amp
scaled functional response for LLs data;1;amp
scaled functional response for Clinch River data;1;amp
scaled functional response for Duck River data;1;amp
scaled functional response for tW9 data;1;amp
scaled functional response for tWi data;1;amp
shape coefficient for neonate;1;amp
time since birth at infection;1;amp
scaled functional response for tW_f data;1;amp
shape coefficient for embryo length;1;amp
shape coefficient for head-rump length;1;amp
scaled functional response for WwR data;1;amp
time offset in temperature in tL data;1;amp
SVL at zero for tL data;1;amp
initial abdomial length for tL data;1;amp
initial weight for tW1 data;1;amp
initial dry weight at for tW0T data;1;amp
initial dry weight at for tW1T data;1;amp
initial dry weight at for tW2T data;1;amp
initial shell height at for tL0T data;1;amp
initial shell height at for tL1T data;1;amp
initial shell height at for tL3 data;1;amp
initial shell height at for tL4 data;1;amp
scaled functional response for tL and tW data at Trevor;1;amp
scaled functional response for tL data at Craig-yr-Wylfa;1;amp
total length at t=0 in tL and tW data;1;amp
time since birth at start growth experiment;1;amp
scaled functional response for tLb data;1;amp
radius at time 0 in tL;1;amp
scaled functional response for dWd;1;amp
conversion of g soil to J for cast production;1;amp
scaled functional response for Butt1993 data;1;amp
time since birth at t=0 of tW data;1;amp
scaled functional response for tL_MR data;1;amp
scaled functional response for tL_SC data;1;amp
shape coefficient for LWw data;1;amp
contibution of shell in tWd_A till tWd_D data;1;amp
initial cumulative # of eggs in tN_100 data;1;amp
initial cumulative # of eggs in tN_25 data;1;amp
initial cumulative # of eggs in tN_50 data;1;amp
initial cumulative # of eggs in tN_A till tN_D data;1;amp
initial structural length in A till D data;1;amp
initial structural length in D data;1;amp
initial structural length in tL_100;1;amp
initial structural length in tL_FLE data;1;amp
scaled functional response for tL_100 data;1;amp
scaled functional response for tL_50 data;1;amp
scaled functional response for tL_B data;1;amp
scaled functional response for tL_BohlJoos1982 data;1;amp
scaled functional response for tL_FLE data;1;amp
scaled functional response for tW1 data at 000 d;1;amp
scaled functional response for tW1 data at 070 d;1;amp
scaled functional response for tW1 data at 110 d;1;amp
weight at zero in tW data;1;amp
digestion efficiency for milk;1;amp
energy content of a Skeletonema cell;1;amp
fraction of wet weight that is measured as a result of removing all body fluids;1;amp
length at 15 d for FabiHuve2005 data;1;amp
length at start of experiment;1;amp
length at start of experiment for tWw data;1;amp
mol per cell of micro-algae in Rico-data;1;amp
scaled functional response for FabiHuve2005 data;1;amp
scaled functional response for GoulWolo2004 data;1;amp
scaled functional response for Mark2011 data;1;amp
scaled functional response for Rico-data;1;amp
scaled res density at start of experiment;1;amp
shape coefficient before metam;1;amp
shape coefficient shell in wet weight;1;amp
volume per cell of Sketetonema;1;amp
scaled functional response for tW_T33 data;1;amp
scaled functional response for tW_T34 data;1;amp
scaled functional response for tW_T43 data;1;amp
delay for onset of growth in tW data;1;amp
fraction of imago structure energy that is converted to eggs;1;amp
scaled functional response for tWw1;1;amp
scaled functional response for tWw2;1;amp
shape coeff. for total length;1;amp
scaled functional response for tWp data at 00 d;1;amp
scaled functional response for tWp data at 05 d;1;amp
scaled functional response for tWp data at 10 d;1;amp
scaled functional response for tWp data at 15 d;1;amp
scaled functional response for tWp data at 20 d;1;amp
time since birth at emergence in tW data;1;amp
maturity at puberty for  males;1;amp
initial weight in tWw data;1;amp
Lower temperature boundary;1;amp
time delay in T(t) data;1;amp
initial length for tL_1-tL_4 data;1;amp
initial length for tL_5-tL_6 data;1;amp
scaled functional response for tL data at t = 1050 d;1;amp
scaled functional response for tL data at t = 1200 d;1;amp
scaled functional response for tL data at t = 150 d;1;amp
scaled functional response for tL data at t = 300 d;1;amp
scaled functional response for tL data at t = 450 d;1;amp
scaled functional response for tL data at t = 600 d;1;amp
scaled functional response for tL data at t = 750 d;1;amp
scaled functional response for tL data at t = 900 d;1;amp
scaled functional response for tL_3 data;1;amp
scaled functional response for tL_4 data;1;amp
scaled functional response for tL_6 data;1;amp
scaled functional response for tL_1425 data;1;amp
scaled functional response for tL_1995 data;1;amp
initial shell height at for tL data;1;amp
scaled functional response for tW data at 26 d;1;amp
Arrhenius temperature above the upper boundary;1;amp
Arrhenius temperature below the lower boundary;1;amp
scaled functional response for CharShri2004 data;1;amp
scaled functional response for RiceHick1989 data;1;amp
scaled functional response for RigwRich2011 data;1;amp
shape coefficient for embryo and larvae;1;amp
shape coefficient for juvenile and adult;1;amp
scaled functional response for tW data at 27 d;1;amp
time since birth at t=0 in tA-data;1;amp
shape coefficient for body length;1;amp
shape coefficient for tibia length;1;amp
scaled functional response for tW data at 18 d;1;amp
scaled functional response for growth;1;amp
shape coeff for body length;1;amp
zoom factor for female for male;1;amp
scaled functional response for LL135 data;1;amp
scaled functional response for LL79 data;1;amp
initial shell height for tL1 data;1;amp
initial shell height for tL3 data;1;amp
initial shell height for tL5 data;1;amp
scaled functional response for tL3 and tL5 data;1;amp
shape coefficient for oral-aboral length;1;amp
scaled functional response for tL1;1;amp
scaled functional response for tL2;1;amp
scaled functional response for tL3;1;amp
scaled functional response for tL4;1;amp
scaled functional response for tL5;1;amp
scaled functional response for tL6;1;amp
scaled functional response for tL7;1;amp
length at time 0;1;amp
scaled functional response for tW data at 03 d;1;amp
time at start development at T given v;1;amp
scaled functional response for tW_f and tW_m data;1;amp
scaled functional response for tW1 data at 02 d;1;amp
scaled functional response for tW1 data at 04 d;1;amp
scaled functional response for tW1 data at 06 d;1;amp
scaled functional response for tW2 data at 00 d;1;amp
scaled functional response for tW2 data at 02 d;1;amp
scaled functional response for tW2 data at 04 d;1;amp
scaled functional response for tW2 data at 06 d;1;amp
scaled functional response for tW2 data at 08 d;1;amp
yield of DNA on structure (g/g);1;amp
yield of N on biomass (g/g);1;amp
yield of RNA on biomass (g/g);1;amp
zoom  for males;1;amp
scaled functional response for tL_S data;1;amp
hazard rate for background mortality;1;amp
scaled funct. res. low food level;1;amp
scaled funct. res. medium food level;1;amp
scaled funct. res. tW2;1;amp
scaled funct. res. tW3;1;amp
scaled functional response for tW0 data;1;amp
scaled functional response for tW data at 7 d;1;amp
scaled functional response for tW data at 9 d;1;amp
time since birth at t=0;1;amp
half sat constant for inorg matter;1;amp
initial scaled functional response for tdL data;1;amp
mol Chlorophyll per Cmol food;1;amp
Arrh. temp for lower boundary;1;amp
Arrh. temp for upper boundary;1;amp
Lower temp boundary;1;amp
scaled functional response for f data;1;amp
scaled functional response for fsubtidal data;1;amp
Upper temp boundary;1;amp
body length at time zero;1;amp
scaled functional response for LWd_sygny data;1;amp
scaled functional response for Shabica;1;amp
shape coefficient for total length for intertidal population;1;amp
shape coefficient for total length for subtidal population;1;amp
scaled functional response for 1-var data birth onwards;1;amp
scaled functional response for 1-var data Clutch 1 embryo;1;amp
scaled functional response for 1-var data Clutch 2 embryo;1;amp
scaled functional response for 1-var data Clutch 3 embryo;1;amp
scaled functional response for 1-var data Clutch 4 embryo;1;amp
scaled functional response for 1-var data Clutch 5 embryo;1;amp
scaled functional response for 1-var data Clutch 6 embryo;1;amp
scaled functional response for data from Eighty Mile Beach;1;amp
scaled functional response for data from Thevenard Island;1;amp
time growth phase starts for embryo assuming a similar growth pattern to C. mydas;1;amp
scaled functional response for 0.06 ration;1;amp
scaled functional response for 0.12 ration;1;amp
scaled functional response for 0.25 ration;1;amp
scaled functional response for 0.5 ration;1;amp
initial carapace width for tL data;1;amp
time at start development in ab;1;amp
scaled functional response for tL_FFS data;1;amp
scaled functional response for tL_KUR data;1;amp
scaled functional response for tL_LAY data;1;amp
scaled functional response for tL_LISdata;1;amp
scaled functional response for tL_MDY data;1;amp
scaled functional response for tL_MHI data;1;amp
scaled functional response for tL_PHR data;1;amp
shape coefficient pre-metamorphosis;1;amp
half-saturation coeffcient;1;amp
scaled functional response for Tah;1;amp
time at start development (since egg sack has been spotted);1;amp
scaled functional response for NF221 data;1;amp
scaled functional response for NF222 data;1;amp
scaled functional response for NK430 data;1;amp
scaled functional response for NK91 data;1;amp
background hazard rate;1;amp
scaled functional response for weight data;1;amp
zoom factor males;1;amp
scaled functional response for tW data at 36 d;1;amp
time between Naef stage 4 and 15 at T_ref;1;amp
scaled functional response for tL_B data at t=000 d;1;amp
scaled functional response for tL_B data at t=060 d;1;amp
scaled functional response for tL_B data at t=120 d;1;amp
scaled functional response for tL_B data at t=140 d;1;amp
scaled functional response for tL_B data at t=220 d;1;amp
scaled functional response for tL_B data at t=240 d;1;amp
scaled functional response for tL_B data at t=300 d;1;amp
scaled functional response for tL_E data at t=000 d;1;amp
scaled functional response for tL_E data at t=060 d;1;amp
scaled functional response for tL_E data at t=120 d;1;amp
scaled functional response for tL_E data at t=180 d;1;amp
scaled functional response for tL_E data at t=240 d;1;amp
scaled functional response for tL_E data at t=300 d;1;amp
scaled functional response for tL_I data at t=000 d;1;amp
scaled functional response for tL_I data at t=060 d;1;amp
scaled functional response for tL_I data at t=120 d;1;amp
scaled functional response for tL_I data at t=180 d;1;amp
scaled functional response for tL_I data at t=240 d;1;amp
scaled functional response for tL_I data at t=300 d;1;amp
scaled functional response for tL_e and tW_e data;1;amp
scaled functional response for tW_BH data;1;amp
scaled functional response for tW_SD data;1;amp
shape coefficient for larva;1;amp
contribution of reprod buffer to total trunc length;1;amp
maturity at puberty of female;1;amp
maturity at puberty of male;1;amp
scaled functional response for tL_Bormida data;1;amp
scaled functional response for tL_Stura data;1;amp
shape coefficient of imago;1;amp
shape coefficient of nymph;1;amp
scaled functional response for tdL data;1;amp
scaled functional response for 1-LN data;1;amp
scld. fctl. res.  DaviKenn2014 (first part of experiment);1;amp
scld. fctl. res.  DaviKenn2014 (second part of experiment);1;amp
scld. fctl. res. u13 - 3;1;amp
scld. fctl. res. u13 - ad libitum;1;amp
scld. fctl. res. univar-10 F - 3-3wk 7;1;amp
scld. fctl. res. YaniHisa2002;1;amp
shape coef (forked length);1;amp
L at start AlleHass1985;1;amp
L at start ShelClar1995;1;amp
scaled functional response for AlleHass1985 data;1;amp
scaled functional response for BeacMurr1993 data;1;amp
scaled functional response for OrsiJaen1996 data;1;amp
scaled functional response for ShelClar1995 data;1;amp
shape coefficient for spawners;1;amp
scaled functional response for 0-var and tW data;1;amp
CTmax for Arrhenius temperature_Hemmings PhD data;1;amp
CTmin for Arrhenius temperature_Dodgy data;1;amp
High Boundary Arrhenius temperature;1;amp
Low Boundary Arrhenius temperature;1;amp
scaled functional response for instar 4 data;1;amp
initial length of 1973 cohort;1;amp
initial length of 1974 cohort;1;amp
initial length of 1975 cohort;1;amp
initial length of 1976 cohort;1;amp
initial length of 1977 cohort;1;amp
initial length of 1978 cohort;1;amp
initial wet weight for tW data;1;amp
scaled functional response for tW_B data;1;amp
scaled functional response for tW_Y data;1;amp
scaled functional response pre-weaning for tW_B data;1;amp
scaled functional response pre-weaning for tW_Y data;1;amp
zoom factor  for males;1;amp
scaled functional response for tL2 and tW2 data;1;amp
scaled functional response for tL4 and tW4 data;1;amp
determines energy allocation to pups;1;amp
energy in repro buffer at the beginning of pregnancy;1;amp
f for pregnant females 0154;1;amp
f for pregnant females 0192;1;amp
f for pregnant females 0203;1;amp
f for pregnant females 0397;1;amp
f for pregnant females 1085;1;amp
foetus energy conductance;1;amp
foetus max surf-spec assimilation rate;1;amp
half-saturation coeff for the pup saturation curve;1;amp
milk production efficiency of the mother;1;amp
scaled functional response embryo data  ZaikDom2013;1;amp
scaled functional response for tW data from BergChaz1976;1;amp
scaled functional response for tW data from Mahm2013 FEMALES double lactation;1;amp
scaled functional response for tW data from Mahm2013 FEMALES single lactation;1;amp
scaled functional response for tW data from Mahm2013 MALES double lactation;1;amp
scaled functional response for tW data from Mahm2013 MALES single lactation;1;amp
scaled functional response for tW data from MasoShap1986 FEMALES;1;amp
scaled functional response for tW data from MasoShap1986 MALES;1;amp
shape coefficient crown-rump length;1;amp
shape coefficient nose-tibia length;1;amp
initial energy in reproduction buffer;1;amp
initial structural length;1;amp
sc. func. resp. GonzCarb2016;1;amp
sc. func. resp. HaseKand2016;1;amp
ssc. func. resp. TehHint1998;1;amp
maturity at release;1;amp
Arrhenius temperature at high boundary;1;amp
Arrhenius temperature at low boundary;1;amp
High boundary temperature;1;amp
initial maturity in tL_Wils and tWd_Wils data;1;amp
initial reprod buffer in tWd_Mann data;1;amp
initial struct length in tL_Saur data;1;amp
initial struct length in tL_Wils and tWd_Wils data;1;amp
initial struct length in tWd_Mann data;1;amp
Low boundary temperature;1;amp
scaled function respons;1;amp
scaled functional response for tL_adult1 data;1;amp
scaled functional response for tL_Robe data;1;amp
scaled functional response for tL_spat data;1;amp
scaled functional response for tL_Wils and tWd_Wils data;1;amp
scaled functional response for tWd_Laba data;1;amp
scaled functional response for tWd_Mann data;1;amp
silt half saturation constant;1;amp
scaled functional response for Gonz2010;1;amp
scaled functional response for KozaBuri2009 data;1;amp
scaled functional response for oligotrophic lake in Finland;1;amp
wet weight at time zero in tW data;1;amp
scaled functional response for LN_N data;1;amp
scaled functional response for tL_UK and LN_UK data;1;amp
initial wet weigth in tWW data;1;amp
scaled functional response for tL/tW data for females and males;1;amp
scaled functional response for tL_A;1;amp
scaled functional response for tL_B;1;amp
scaled functional response for tW2;1;amp
initial weight in tWw_f data;1;amp
initial weight in tWw_m data;1;amp
sc func res bay of brest;1;amp
sc func res Celtic sea;1;amp
sc func res Traena;1;amp
scaled functional response between b and x;1;amp
carbon density of structure;1;amp
dry weight for TJO and TJN data;1;amp
initial wet weight for tWwA data;1;amp
initial wet weight for tWwB data;1;amp
initial wet weight for tWwC data;1;amp
nitrogen density of structure;1;amp
scaled functional response for tWwA data;1;amp
scaled functional response for tWwB data;1;amp
scaled functional response for tWwC data;1;amp
shape coefficient for bell diameter lappet to lappet;1;amp
shape coefficient for bell diameter rhopalia to rhopalia;1;amp
scaled functional response for f_tL data;1;amp
scaled functional response for tL_f3 and tL_m3 data;1;amp
scaled functional response for tL_f8 and tL_m8 data;1;amp
weight at time 0;1;amp
scaled functional response for tL in Guzhenkou Bay;1;amp
scaled functional response for tL in Laoshan Bay;1;amp
age at switch from zooplankton to fish;1;amp
scaled functional response for tL data at site 1;1;amp
scaled functional response for tL data at site 2;1;amp
time at birth in tL;1;amp
scaled functional response for tE data at 00 d;1;amp
scaled functional response for tE data at 05 d;1;amp
scaled functional response for tE data at 10 d;1;amp
allocation fraction of milk (vs foetus);1;amp
wet weight at t = 0;1;amp
scaled functional response for Frost1943;1;amp
scaled functional response for Hees1984;1;amp
scaled functional response for Kill2014;1;amp
scaled functional response for MillElor1985;1;amp
scaled functional response for MuseBorg2002;1;amp
scaled functional response for SchoSchw2000;1;amp
shape coefficient fork length;1;amp
shape coefficient standard length;1;amp
scaled functional response for tW data at 350 d;1;amp
length at zero;1;amp
intitial structural length in tL;1;amp
initial f for Soho;1;amp
scaled functional response for Aerl2004;1;amp
scaled functional response for BoroTaly2015;1;amp
scaled functional response for ParrBala2017;1;amp
scaled functional response for Soho;1;amp
scaled functional response for u5 control;1;amp
{F_mb};1;amp
max spec ingestion rate;1;amp
scaled functional response for S. Pouvreau in situ data;1;amp
scaled functional response for tLC1 data;1;amp
scaled functional response for tLC2 data;1;amp
scaled functional response for tLC3 data;1;amp
scaled functional response for tLC4 data;1;amp
scaled functional response for WdJO1 data;1;amp
shape coefficient for shell heigth;1;amp
shape coefficient shell diamaeter;1;amp
reference scaled functional response;1;amp
scaled functional response for LdL;1;amp
scaled functional response for tL_T datasets;1;amp
shape coefficient adult;1;amp
shape coefficient larva;1;amp
scaled functional response for tWh data at 00 d;1;amp
scaled functional response for tWh data at 10 d;1;amp
scaled functional response for tWh data at 20 d;1;amp
scaled functional response for tWh data at 30 d;1;amp
scaled functional response for tWh data at 40 d;1;amp
scaled functional response for tWh data at 50 d;1;amp
scaled functional response for tWh data at 60 d;1;amp
scaled functional response for tWl data at 00 d;1;amp
scaled functional response for tWl data at 10 d;1;amp
scaled functional response for tWl data at 20 d;1;amp
scaled functional response for tWl data at 30 d;1;amp
scaled functional response for tWl data at 40 d;1;amp
scaled functional response for tWl data at 50 d;1;amp
scaled functional response for tWl data at 60 d;1;amp
scaled functional response for tWe_1978 data;1;amp
scaled functional response for tWe_1979 data;1;amp
time at start development for 1978 data;1;amp
time at start development for 1979 data;1;amp
reduction factor of structure and reserve mass at j;1;amp
scaled functional response for tW/tL data;1;amp
dry weight for TJO data;1;amp
scaled functional response for tL data at 10 m deep in Newfoundland;1;amp
scaled functional response for tL data at 31 m deep in Newfoundland;1;amp
scaled functional response for tL data in the Gulf of Saint-Lawrence;1;amp
scaled functional response for WJO data at 1 <U+FFFD>C;1;amp
scaled functional response for WJO data at 10 <U+FFFD>C;1;amp
scaled functional response for WJO data at 19 <U+FFFD>C;1;amp
scaled functional response for WJO data at 3 <U+FFFD>C;1;amp
scaled functional response for WJO data at 6 <U+FFFD>C;1;amp
scaled functional response for WJO data at 8 <U+FFFD>C;1;amp
scaled functional response for WJO data from GranCran1991;1;amp
shape coefficient before metamorphosis;1;amp
scaled functional response for tLT data;1;amp
scaled functional response for LL and WW data;1;amp
shape coefficient for diameter;1;amp
shape coefficient for polar length;1;amp
scaled functional response for tL_Ch data;1;amp
scaled functional response for tL_It data;1;amp
scaled functional response for tL_La data;1;amp
shape coefficient for early juvenile;1;amp
shape coefficient for embryo carapace length;1;amp
shape coefficient for embryo crown-rump length;1;amp
scaled functional response for food restriction;1;amp
scaled functional response for Ursi1967 data;1;amp
scaled functional response at high food;1;amp
scaled functional response at low food;1;amp
digestion efficiency of food to reserve at low food;1;amp
digestion efficiency of food to reserve low food;1;amp
maturity at fledge/weaning;1;amp
period between broods;1;amp
scaled functional response for tL_1200 data;1;amp
scaled functional response for tL_Bri data;1;amp
scaled functional response for tL_Cha data;1;amp
scaled functional response for tL_Der data;1;amp
scaled functional response for tL_Eig data;1;amp
scaled functional response for tL_Fit data;1;amp
scaled functional response for tL_Fli data;1;amp
scaled functional response for tL_Mar data;1;amp
scaled functional response for tL_Roe data;1;amp
scaled functional response for tL_Rop data;1;amp
scaled functional response for tL_Spr data;1;amp
scaled functional response for tL and tWw and LWw data;1;amp
time since Jan 1 at start development;1;amp
scaled functional response for LWw_f data;1;amp
initial length tL2;1;amp
initial length tL3;1;amp
zoom factor fro Amur subspecies;1;amp
zoom factor for P.a.a.;1;amp
Arrhenius temperature for high end of range;1;amp
Arrhenius temperature for low end of range;1;amp
scaled functional response for SeitVilp2005 data;1;amp
scaled functional response for t-L data;1;amp
scaled functional response for t-Ww data;1;amp
shape coefficient at hatching;1;amp
temperature for high end of range;1;amp
temperature for low end of range;1;amp
shape coefficient for foetus;1;amp
scaled functional response for tW1 data at 65 d;1;amp
scaled functional response for tW1 data at 99 d;1;amp
scaled functional response for tW data at 200 d;1;amp
scaled functional response for WW data;1;amp
wet weight zt zero in tW and tW1 data;1;amp
s_M;1;amp
s_Megg;1;amp
s_MO2;1;amp
initial weight in tW data;1;amp
initial weight in tW1 data;1;amp
maturity at metam for females;1;amp
zoom factor for gray males;1;amp
